cut,color,clarity,item,price,carat,x,y,z,noData
Fair,G,SI2,mean,5665,1.26,6.66,6.6,4.3,80
Fair,G,SI2,min,1035,0.5,4.99,4.9,3.2,80
Fair,G,SI2,max,17027,2.6,8.6,8.6,6.2,80
Fair,G,SI2,sd,4395,0.52,0.9,0.9,0.6,80
Fair,G,VS1,mean,3498,0.77,5.59,5.5,3.5,45
Fair,G,VS1,min,673,0.3,0,0,0,45
Fair,G,VS1,max,12948,1.51,7.35,7.2,4.7,45
Fair,G,VS1,sd,2749,0.29,1.11,1.1,0.7,45
Fair,G,VS2,mean,5384,0.98,6.18,6.1,4,45
Fair,G,VS2,min,722,0.35,4.62,4.6,3,45
Fair,G,VS2,max,18515,2.01,7.72,7.8,5.2,45
Fair,G,VS2,sd,4227,0.4,0.8,0.8,0.5,45
Fair,G,VVS1,mean,2216,0.57,5.28,5.3,3.2,3
Fair,G,VVS1,min,790,0.3,4.36,4.4,2.6,3
Fair,G,VVS1,max,3062,0.71,5.81,5.9,3.5,3
Fair,G,VVS1,sd,1242,0.23,0.8,0.8,0.5,3
Fair,G,VVS2,mean,3099,0.66,5.36,5.3,3.4,17
Fair,G,VVS2,min,369,0.23,3.87,3.9,2.4,17
Fair,G,VVS2,max,13553,1.5,7.18,7.1,4.6,17
Fair,G,VVS2,sd,3181,0.33,0.87,0.9,0.6,17
Fair,H,I1,mean,4213,1.5,6.96,6.9,4.5,52
Fair,H,I1,min,1058,0.7,5.51,5.4,3.4,52
Fair,H,I1,max,17329,4.13,10,9.8,6.4,52
Fair,H,I1,sd,3149,0.73,1.01,1,0.7,52
Fair,H,SI1,mean,5196,1.11,6.41,6.4,4.1,75
Fair,H,SI1,min,659,0.41,4.51,4.6,3,75
Fair,H,SI1,max,18026,2.32,8.8,8.3,5.2,75
Fair,H,SI1,sd,3969,0.44,0.86,0.8,0.5,75
Fair,H,SI2,mean,6022,1.36,6.86,6.8,4.4,91
Fair,H,SI2,min,1059,0.59,5.33,5.2,3.4,91
Fair,H,SI2,max,18308,2.53,8.54,8.5,5.5,91
Fair,H,SI2,sd,4090,0.51,0.85,0.9,0.5,91
Fair,H,VS1,mean,4605,0.98,6.21,6.1,3.9,32
Fair,H,VS1,min,1134,0.5,4.86,4.8,3,32
Fair,H,VS1,max,14199,2,8.28,8.2,5.1,32
Fair,H,VS1,sd,3568,0.41,0.92,0.9,0.5,32
Fair,H,VS2,mean,5111,1.04,6.26,6.2,4,41
Fair,H,VS2,min,704,0.4,4.58,4.6,2.9,41
Fair,H,VS2,max,18565,2.02,8.2,8.1,5.2,41
Fair,H,VS2,sd,4468,0.45,0.89,0.9,0.6,41
Fair,H,VVS1,mean,4115,0.91,6.38,6.4,3.6,1
Fair,H,VVS1,min,4115,0.91,6.38,6.4,3.6,1
Fair,H,VVS1,max,4115,0.91,6.38,6.4,3.6,1
Fair,H,VVS1,sd,-,-,-,-,-,1
Fair,H,VVS2,mean,3482,0.84,5.9,5.8,3.7,11
Fair,H,VVS2,min,922,0.33,4.4,4.3,2.8,11
Fair,H,VVS2,max,7476,1.5,7.19,7.2,4.7,11
Fair,H,VVS2,sd,1884,0.32,0.83,0.8,0.5,11
Fair,I,I1,mean,3501,1.32,6.76,6.7,4.4,34
Fair,I,I1,min,1014,0.7,5.46,5.3,3.7,34
Fair,I,I1,max,10577,3.02,9.11,9,5.9,34
Fair,I,I1,sd,2157,0.5,0.82,0.8,0.5,34
Fair,I,SI1,mean,4575,1.11,6.45,6.4,4.1,30
Fair,I,SI1,min,1697,0.7,5.46,5.5,3.4,30
Fair,I,SI1,max,15282,2.11,7.86,7.8,5.3,30
Fair,I,SI1,sd,3328,0.36,0.66,0.7,0.4,30
Fair,I,SI2,mean,6658,1.51,7.05,7,4.6,45
Fair,I,SI2,min,1625,0.7,5.46,5.5,3.5,45
Fair,I,SI2,max,18242,3.01,8.99,8.9,5.9,45
Fair,I,SI2,sd,4482,0.6,0.93,0.9,0.6,45
Fair,I,VS1,mean,4500,1.01,6.25,6.2,3.9,25
Fair,I,VS1,min,735,0.41,4.62,4.7,3,25
Fair,I,VS1,max,17408,2.05,8.26,8.2,5.3,25
Fair,I,VS1,sd,4318,0.49,1.02,1,0.6,25
Fair,I,VS2,mean,3856,0.95,6.21,6.2,3.9,32
Fair,I,VS2,min,855,0.46,4.82,4.8,2.9,32
Fair,I,VS2,max,15729,2.01,7.79,7.7,5.2,32
Fair,I,VS2,sd,3225,0.35,0.74,0.7,0.5,32
Fair,I,VVS1,mean,4194,0.9,5.98,6.1,3.8,1
Fair,I,VVS1,min,4194,0.9,5.98,6.1,3.8,1
Fair,I,VVS1,max,4194,0.9,5.98,6.1,3.8,1
Fair,I,VVS1,sd,-,-,-,-,-,1
Fair,I,VVS2,mean,2995,0.84,5.92,5.9,3.7,8
Fair,I,VVS2,min,1401,0.52,5.26,5.2,3.2,8
Fair,I,VVS2,max,7303,1.52,7.28,7.2,4.7,8
Fair,I,VVS2,sd,1837,0.3,0.61,0.6,0.4,8
Fair,J,I1,mean,5795,1.99,7.55,7.5,5,23
Fair,J,I1,min,1066,0.7,5.59,5.5,3.6,23
Fair,J,I1,max,18531,5.01,10.74,10.5,7,23
Fair,J,I1,sd,4594,1.11,1.35,1.4,0.9,23
Fair,J,SI1,mean,4554,1.18,6.6,6.5,4.1,28
Fair,J,SI1,min,497,0.34,4.38,4.4,2.8,28
Fair,J,SI1,max,12811,2.29,8.79,8.7,5.2,28
Fair,J,SI1,sd,3108,0.45,0.89,0.9,0.5,28
Fair,J,SI2,mean,5132,1.32,6.77,6.7,4.3,27
Fair,J,SI2,min,1362,0.71,5.51,5.4,3.6,27
Fair,J,SI2,max,15824,2.52,8.51,8.4,5.6,27
Fair,J,SI2,sd,4210,0.53,0.84,0.8,0.6,27
Fair,J,VS1,mean,5906,1.23,6.63,6.6,4.2,16
Fair,J,VS1,min,949,0.5,4.89,4.8,3.2,16
Fair,J,VS1,max,14750,2.06,8.09,8,5.2,16
Fair,J,VS1,sd,4815,0.53,0.98,1,0.6,16
Fair,J,VS2,mean,4068,1.03,6.24,6.2,4,23
Fair,J,VS2,min,416,0.3,4.24,4.2,2.7,23
Fair,J,VS2,max,13744,2.29,8.8,8.6,5.1,23
Fair,J,VS2,sd,3895,0.51,1.04,1,0.6,23
Fair,J,VVS1,mean,1691,0.7,5.56,5.4,3.7,1
Fair,J,VVS1,min,1691,0.7,5.56,5.4,3.7,1
Fair,J,VVS1,max,1691,0.7,5.56,5.4,3.7,1
Fair,J,VVS1,sd,-,-,-,-,-,1
Fair,J,VVS2,mean,2998,1.01,6.29,6.2,4.1,1
Fair,J,VVS2,min,2998,1.01,6.29,6.2,4.1,1
Fair,J,VVS2,max,2998,1.01,6.29,6.2,4.1,1
Fair,J,VVS2,sd,-,-,-,-,-,1
Good,D,I1,mean,3491,1.04,6.3,6.3,3.8,8
Good,D,I1,min,361,0.32,4.33,4.3,2.8,8
Good,D,I1,max,6088,1.51,7.53,7.5,4.3,8
Good,D,I1,sd,2199,0.47,1.26,1.3,0.7,8
Good,D,IF,mean,10030,0.79,5.8,5.9,3.6,9
Good,D,IF,min,1252,0.32,4.55,4.7,2.7,9
Good,D,IF,max,17499,1.14,6.75,6.8,4.1,9
Good,D,IF,sd,7144,0.32,0.82,0.8,0.6,9
Good,D,SI1,mean,3021,0.7,5.5,5.5,3.5,237
Good,D,SI1,min,502,0.3,4.22,4.2,2.7,237
Good,D,SI1,max,18468,2.04,8.15,8.1,5,237
Good,D,SI1,sd,2751,0.33,0.88,0.9,0.5,237
Good,D,SI2,mean,3595,0.86,5.92,5.9,3.7,223
Good,D,SI2,min,414,0.3,4.21,4.2,2.6,223
Good,D,SI2,max,17094,2.03,8.12,8.1,5.1,223
Good,D,SI2,sd,3072,0.39,0.94,0.9,0.6,223
Good,D,VS1,mean,3557,0.66,5.45,5.5,3.4,43
Good,D,VS1,min,399,0.25,4.15,4.2,2.4,43
Good,D,VS1,max,17111,1.51,7.28,7.2,4.6,43
Good,D,VS1,sd,3317,0.3,0.81,0.8,0.5,43
Good,D,VS2,mean,3588,0.7,5.52,5.5,3.5,104
Good,D,VS2,min,403,0.26,3.99,4,2.6,104
Good,D,VS2,max,17760,2,7.88,7.8,5,104
Good,D,VS2,sd,3361,0.33,0.83,0.8,0.5,104
Good,D,VVS1,mean,2586,0.49,4.92,5,3,13
Good,D,VVS1,min,425,0.23,3.83,3.9,2.4,13
Good,D,VVS1,max,8239,0.9,6.02,6.1,3.9,13
Good,D,VVS1,sd,2431,0.25,0.85,0.9,0.5,13
Good,D,VVS2,mean,2346,0.48,4.87,4.9,3,25
Good,D,VVS2,min,452,0.23,3.9,3.9,2.4,25
Good,D,VVS2,max,8943,1.01,6.42,6.5,4,25
Good,D,VVS2,sd,2621,0.25,0.78,0.8,0.5,25
Good,E,I1,mean,4398,1.33,6.93,6.9,4.3,23
Good,E,I1,min,1168,0.61,5.37,5.4,3.4,23
Good,E,I1,max,11548,3,9.08,9,5.8,23
Good,E,I1,sd,2504,0.5,0.8,0.8,0.6,23
Good,E,IF,mean,1519,0.37,4.53,4.5,2.8,9
Good,E,IF,min,512,0.25,3.91,4,2.5,9
Good,E,IF,max,6804,0.9,6.11,6,3.9,9
Good,E,IF,sd,1999,0.2,0.66,0.6,0.4,9
Good,E,SI1,mean,3162,0.72,5.56,5.6,3.5,355
Good,E,SI1,min,373,0.28,4.12,4.2,2.6,355
Good,E,SI1,max,18027,2.01,8.23,8.3,5.1,355
Good,E,SI1,sd,3089,0.36,0.92,0.9,0.6,355
Good,E,SI2,mean,3785,0.88,5.99,6,3.7,202
Good,E,SI2,min,421,0.3,4.27,4.3,2.7,202
Good,E,SI2,max,18236,2.02,8.31,8.2,5,202
Good,E,SI2,sd,3571,0.39,0.88,0.9,0.5,202
Good,E,VS1,mean,3713,0.68,5.49,5.5,3.4,89
Good,E,VS1,min,327,0.23,3.83,3.9,2.3,89
Good,E,VS1,max,17400,1.69,7.51,7.6,4.8,89
Good,E,VS1,sd,3619,0.32,0.84,0.8,0.6,89
Good,E,VS2,mean,3772,0.74,5.67,5.7,3.5,160
Good,E,VS2,min,357,0.23,3.88,3.9,2.4,160
Good,E,VS2,max,15385,1.7,7.58,7.5,4.8,160
Good,E,VS2,sd,3253,0.31,0.8,0.8,0.5,160
Good,E,VVS1,mean,1906,0.42,4.66,4.7,2.9,43
Good,E,VVS1,min,439,0.23,3.87,3.9,2.3,43
Good,E,VVS1,max,10696,1.01,6.36,6.4,4,43
Good,E,VVS1,sd,2652,0.23,0.72,0.7,0.5,43
Good,E,VVS2,mean,3390,0.56,5.06,5.1,3.2,52
Good,E,VVS2,min,465,0.23,3.85,3.9,2.4,52
Good,E,VVS2,max,17449,1.5,7.21,7.4,4.6,52
Good,E,VVS2,sd,4120,0.35,0.99,1,0.6,52
Good,F,I1,mean,2570,0.98,6.16,6.1,3.9,19
Good,F,I1,min,491,0.4,4.64,4.7,3,19
Good,F,I1,max,6686,2.01,7.93,7.9,5.1,19
Good,F,I1,sd,1925,0.45,0.94,1,0.6,19
Good,F,IF,mean,3133,0.53,5.08,5.1,3.1,15
Good,F,IF,min,492,0.24,3.86,3.9,2.5,15
Good,F,IF,max,9867,1.01,6.42,6.4,4,15
Good,F,IF,sd,3485,0.28,0.83,0.8,0.5,15
Good,F,SI1,mean,3261,0.77,5.71,5.7,3.6,273
Good,F,SI1,min,500,0.29,4.19,4.2,2.5,273
Good,F,SI1,max,18376,2,8,8,5,273
Good,F,SI1,sd,3006,0.33,0.82,0.8,0.5,273
Good,F,SI2,mean,4427,1,6.2,6.2,3.9,201
Good,F,SI2,min,394,0.3,0,0,0,201
Good,F,SI2,max,18686,2.67,8.69,8.6,5.5,201
Good,F,SI2,sd,3555,0.4,1.05,1,0.6,201
Good,F,VS1,mean,2788,0.62,5.36,5.4,3.3,132
Good,F,VS1,min,373,0.23,3.86,3.9,2.4,132
Good,F,VS1,max,17330,1.7,7.86,7.8,4.6,132
Good,F,VS1,sd,2875,0.28,0.78,0.8,0.5,132
Good,F,VS2,mean,3791,0.75,5.64,5.7,3.5,184
Good,F,VS2,min,357,0.23,3.93,3.8,2.4,184
Good,F,VS2,max,17597,1.7,7.58,7.6,4.7,184
Good,F,VS2,sd,3222,0.34,0.87,0.9,0.6,184
Good,F,VVS1,mean,2190,0.47,4.79,4.8,3,35
Good,F,VVS1,min,458,0.23,3.9,3.9,2.4,35
Good,F,VVS1,max,11182,1.2,6.74,6.7,4.3,35
Good,F,VVS1,sd,2866,0.27,0.83,0.8,0.5,35
Good,F,VVS2,mean,3192,0.61,5.26,5.3,3.3,50
Good,F,VVS2,min,425,0.23,3.83,3.9,2.4,50
Good,F,VVS2,max,14654,1.51,7.18,7.2,4.6,50
Good,F,VVS2,sd,3109,0.31,0.92,0.9,0.6,50
Good,G,I1,mean,3196,1.17,6.61,6.6,3.9,19
Good,G,I1,min,467,0.41,4.7,4.7,0,19
Good,G,I1,max,7026,2.05,8.46,8.3,5.1,19
Good,G,I1,sd,2002,0.48,1.02,1,1.1,19
Good,G,IF,mean,4060,0.65,5.36,5.4,3.3,22
Good,G,IF,min,895,0.3,4.24,4.2,2.6,22
Good,G,IF,max,15164,1.51,7.54,7.5,4.5,22
Good,G,IF,sd,4759,0.41,1.07,1.1,0.6,22
Good,G,SI1,mean,4129,0.88,5.94,6,3.7,207
Good,G,SI1,min,417,0.3,4.26,4.3,2.7,207
Good,G,SI1,max,18625,2.19,8.26,8.2,5.2,207
Good,G,SI1,sd,3916,0.41,0.92,0.9,0.6,207
Good,G,SI2,mean,4776,1.09,6.38,6.4,4,163
Good,G,SI2,min,394,0.3,4.23,4.2,0,163
Good,G,SI2,max,18788,2.8,8.9,8.8,5.4,163
Good,G,SI2,sd,3899,0.51,1.02,1,0.7,163
Good,G,VS1,mean,4302,0.78,5.68,5.7,3.6,152
Good,G,VS1,min,548,0.3,4.21,4.2,2.6,152
Good,G,VS1,max,17338,1.74,7.83,7.9,4.8,152
Good,G,VS1,sd,3871,0.39,0.99,1,0.6,152
Good,G,VS2,mean,4141,0.82,5.8,5.8,3.6,192
Good,G,VS2,min,394,0.28,4.2,4.2,2.6,192
Good,G,VS2,max,17898,2,7.94,7.9,5.1,192
Good,G,VS2,sd,3336,0.36,0.9,0.9,0.6,192
Good,G,VVS1,mean,2705,0.55,5.1,5.1,3.2,41
Good,G,VVS1,min,395,0.23,4.14,4.2,2.3,41
Good,G,VVS1,max,15420,1.51,7.54,7.5,4.4,41
Good,G,VVS1,sd,3086,0.3,0.87,0.9,0.5,41
Good,G,VVS2,mean,3310,0.63,5.28,5.3,3.3,75
Good,G,VVS2,min,428,0.23,3.94,3.9,2.5,75
Good,G,VVS2,max,13275,1.51,7.28,7.3,4.6,75
Good,G,VVS2,sd,3217,0.34,0.94,0.9,0.6,75
Good,H,I1,mean,3850,1.25,6.79,6.7,4.2,14
Good,H,I1,min,1134,0.7,5.89,5.8,3.3,14
Good,H,I1,max,7959,2.06,8.03,8,5.2,14
Good,H,I1,sd,2156,0.48,0.76,0.8,0.6,14
Good,H,IF,mean,5949,0.94,6.14,6.2,3.8,4
Good,H,IF,min,1440,0.53,5.16,5.3,3.2,4
Good,H,IF,max,13248,1.53,7.25,7.3,4.6,4
Good,H,IF,sd,5377,0.46,0.92,0.9,0.7,4
Good,H,SI1,mean,4179,0.91,5.98,6,3.7,235
Good,H,SI1,min,402,0.3,4.2,4.2,2.7,235
Good,H,SI1,max,18026,2.18,8.57,8.5,5.2,235
Good,H,SI1,sd,3823,0.46,1.06,1.1,0.6,235
Good,H,SI2,mean,5530,1.17,6.54,6.5,4.1,158
Good,H,SI2,min,368,0.3,4.24,4.2,2.7,158
Good,H,SI2,max,18593,3.01,9.44,9.4,5.6,158
Good,H,SI2,sd,4507,0.55,1.08,1.1,0.7,158
Good,H,VS1,mean,3819,0.78,5.66,5.7,3.5,77
Good,H,VS1,min,435,0.3,4.22,4.2,2.6,77
Good,H,VS1,max,18340,2.01,8.23,8.2,4.8,77
Good,H,VS1,sd,3731,0.43,1.1,1.1,0.7,77
Good,H,VS2,mean,4433,0.88,5.89,5.9,3.7,138
Good,H,VS2,min,470,0.3,4.2,4.3,2.7,138
Good,H,VS2,max,18640,2.01,8.29,8.3,5.1,138
Good,H,VS2,sd,4220,0.46,1.07,1.1,0.7,138
Good,H,VVS1,mean,1720,0.47,4.85,4.9,3,31
Good,H,VVS1,min,401,0.25,4.05,4.1,2.5,31
Good,H,VVS1,max,6504,1.08,6.52,6.6,4.1,31
Good,H,VVS1,sd,1753,0.25,0.74,0.7,0.5,31
Good,H,VVS2,mean,2428,0.59,5.18,5.2,3.2,45
Good,H,VVS2,min,440,0.26,4.04,4.1,2.6,45
Good,H,VVS2,max,14146,1.7,7.52,7.6,4.8,45
Good,H,VVS2,sd,2800,0.33,0.92,0.9,0.6,45
Good,I,I1,mean,4175,1.41,7.02,7,4.3,9
Good,I,I1,min,1111,0.7,5.62,5.6,3.6,9
Good,I,I1,max,10863,3,9.38,9.3,5.3,9
Good,I,I1,sd,2933,0.68,1.05,1,0.6,9
Good,I,IF,mean,1749,0.53,5.01,5,3.1,6
Good,I,IF,min,631,0.3,4.21,4.3,2.7,6
Good,I,IF,max,3734,0.9,6.07,6.1,3.9,6
Good,I,IF,sd,1518,0.29,0.84,0.8,0.6,6
Good,I,SI1,mean,4743,1.02,6.14,6.1,3.9,165
Good,I,SI1,min,377,0.3,4.19,4.2,2.7,165
Good,I,SI1,max,18541,2.4,8.87,8.8,5.1,165
Good,I,SI1,sd,4490,0.56,1.24,1.2,0.7,165
Good,I,SI2,mean,6933,1.42,6.99,7,4.3,81
Good,I,SI2,min,351,0.3,4.26,4.3,2.7,81
Good,I,SI2,max,18242,3.01,9.06,9,5.8,81
Good,I,SI2,sd,5049,0.64,1.16,1.1,0.7,81
Good,I,VS1,mean,4597,0.93,5.99,6,3.7,103
Good,I,VS1,min,457,0.3,4.2,4.2,2.7,103
Good,I,VS1,max,17533,2.02,8.13,8.2,5.2,103
Good,I,VS1,sd,4261,0.49,1.18,1.2,0.7,103
Good,I,VS2,mean,5957,1.13,6.46,6.5,4,110
Good,I,VS2,min,435,0.31,4.3,4.3,2.7,110
Good,I,VS2,max,18707,2.16,8.34,8.4,5.2,110
Good,I,VS2,sd,5118,0.53,1.08,1.1,0.7,110
Good,I,VVS1,mean,2651,0.67,5.38,5.4,3.4,22
Good,I,VVS1,min,552,0.3,4.23,4.2,2.7,22
Good,I,VVS1,max,9471,1.51,7.26,7.3,4.6,22
Good,I,VVS1,sd,2570,0.36,0.94,0.9,0.6,22
Good,I,VVS2,mean,2758,0.72,5.58,5.6,3.5,26
Good,I,VVS2,min,579,0.33,4.36,4.4,2.8,26
Good,I,VVS2,max,9909,1.51,7.29,7.3,4.7,26
Good,I,VVS2,sd,2500,0.36,0.88,0.9,0.6,26
Good,J,I1,mean,3794,1.37,6.98,7,4.3,4
Good,J,I1,min,1945,0.91,6.06,6.1,3.8,4
Good,J,I1,max,6521,2,7.97,7.8,5,4
Good,J,I1,sd,2146,0.5,0.82,0.7,0.6,4
Good,J,IF,mean,2738,0.69,5.51,5.5,3.4,6
Good,J,IF,min,827,0.41,4.7,4.7,3,6
Good,J,IF,max,6299,1.21,6.81,6.9,4.2,6
Good,J,IF,sd,2455,0.37,1.02,1,0.5,6
Good,J,SI1,mean,4628,1.13,6.43,6.4,4,88
Good,J,SI1,min,339,0.3,4.23,4.2,2.7,88
Good,J,SI1,max,15287,2.32,8.56,8.5,5.3,88
Good,J,SI1,sd,3852,0.54,1.08,1.1,0.7,88
Good,J,SI2,mean,5306,1.32,6.85,6.9,4.3,53
Good,J,SI2,min,335,0.31,4.34,4.3,2.8,53
Good,J,SI2,max,15231,3,9.32,9.2,5.5,53
Good,J,SI2,sd,3355,0.54,0.97,1,0.6,53
Good,J,VS1,mean,3663,0.88,5.85,5.9,3.7,52
Good,J,VS1,min,394,0.3,4.22,4.2,2.7,52
Good,J,VS1,max,17051,2.27,8.47,8.6,5,52
Good,J,VS1,sd,3862,0.52,1.21,1.2,0.7,52
Good,J,VS2,mean,4803,1.11,6.43,6.4,4,90
Good,J,VS2,min,368,0.3,4.22,4.2,2.7,90
Good,J,VS2,max,18325,2.5,8.63,8.6,5.3,90
Good,J,VS2,sd,3650,0.5,1.05,1.1,0.6,90
Good,J,VVS1,mean,4633,1,6.29,6.3,4,1
Good,J,VVS1,min,4633,1,6.29,6.3,4,1
Good,J,VVS1,max,4633,1,6.29,6.3,4,1
Good,J,VVS1,sd,-,-,-,-,-,1
Good,J,VVS2,mean,4371,0.94,6.03,6,3.7,13
Good,J,VVS2,min,375,0.28,4.27,4.3,2.5,13
Good,J,VVS2,max,15898,2.03,7.88,7.9,5,13
Good,J,VVS2,sd,4481,0.53,1.23,1.2,0.8,13
Ideal,D,I1,mean,3527,0.96,6.07,6,3.7,13
